question_id,answer_type,question,generated_sql,qwen35_ans,det_ans,v1_1_ans,match_exact,match_close
HV-IC-0001,money,"Starting with Rajesh Rao’s Six Sigma Black Belt (6S-500161) work on the Material Handling Plant — Uttar Pradesh Pkg-47 project with the National Expressway Development Authority, what is the combined value of every completed assignment he has done for that client right now to lock the submission?",,,2942400000.0,129400000.0,False,False
HV-IC-0002,money,"Irrigation & Waterways Dept, Govt of Rajasthan; excluding water treatment — what is the auditable sum of every other executed contract value for that portfolio?",,,1516600000.0,1516600000.0,True,True
HV-IC-0003,percent,"Regarding the Ring Road — West Bengal Pkg-128 assignment under PMP, with Amit Iyer as the assigned contact, could you please confirm the collection figure out of 100 for all amounts billed to the client?",,,90.19,90.19,True,True
HV-IC-0006,money,"Lakshya Engineering & Construction is under audit, so what is the exact gap between the total value of work awarded and the amount we have actually invoiced?",,,213836582.0,398441008.0,False,False
HV-IC-0009,percent,"pmp deepa chatterjee hospital block — west bengal pkg-18, what’s the collection percentage out of 100 for billed?",,,82.38,82.38,True,True
HV-IC-0010,percent,"I’m still getting my head around how we track these, but for the PMP assignment Tanvir Menon is handling on the Flyover — Delhi Pkg-99, what percentage out of 100 has actually been collected against the total billed?",,,88.9,88.9,True,True
HV-IC-0014,days,"I’m pretty sure Pooja Bose’s PMP for the Madhya Pradesh water plant was issued back in March 2021, but do you know how many days actually elapsed before that project wrapped up?","SELECT ABS(JULIANDAY(p.completion_date) - JULIANDAY(pc.issue_date)) AS days_elapsed 
FROM projects p
JOIN personnel_certs pc ON p.doc_id = pc.doc_id AND LOWER(pc.cred_type) LIKE '%pmp%'
WHERE (LOWER(p.project_name || ' ') LIKE '%madhya pradesh%') OR (LOWER(p.state) LIKE '%water plant%')
  AND EXISTS(SELECT * FROM engineers e WHERE e.name = 'Pooja Bose' AND emp_id = pc.emp_id);",,0.0,536.0,False,False
HV-IC-0017,money,"Community Centre — Uttar Pradesh Pkg-139’s client: what’s the average size of all work we’ve finished for them, and I need that number by 2 PM for the bid cutoff?",,,0.0,326933333.0,False,False
HV-IC-0018,money,"I’m still finding my way around the bid desk, but could you quickly tell me the combined value of all the West Bengal irrigation and waterways projects that meet or exceed the forty crore threshold?",,,0.0,1150300000.0,False,False
HV-IC-0020,count,"PMP; Farhan Rao, could you please confirm the total number of distinct work categories he has successfully led to completion?","SELECT COUNT(DISTINCT p.category) 
FROM projects p
JOIN engineers e ON p.lead_engineer = e.emp_id
WHERE e.name = 'Farhan Rao'
AND p.completion_date IS NOT NULL",0.0,2.0,2.0,True,True
HV-IC-0021,money,What is the net difference in the value of work completed for Meridian Constructors & Co. between 2020 and 2022?,,,0.0,-1189100000.0,False,False
HV-IC-0023,money,"Subarnarekha Valley Corporation's active projects require a final reconciliation, so what is the net shortfall between our awarded contract values and the amounts we have formally billed?",,,0.0,2293370196.0,False,False
HV-IC-0024,days,"Cross-checking the Jharkhand Pkg-131 pipeline laying entry for Gautam Joshi, whose PMP was issued 2021-03-10, what is the interval from that issue date to the completion date?",,,160.0,160.0,True,True
HV-IC-0025,money,"Trishakti Power Generation Corporation’s file is right here, but I’m still getting my bearings—could you tell me how much their total awarded value moved between 2020 and 2024?",,,1521400000.0,-1453900000.0,False,False
HV-IC-0026,money,"Just trying to wrap my head around the desk workflow, but could you show me how to quickly sum the value of just the Public Health Engineering Dept, Odisha assignments that clear the twenty-three crore mark?",,,1028500000.0,1028500000.0,True,True
HV-IC-0027,money,"Mega Infrastructure Authority assignments cross-checked against the forty-three crore cutoff, what is the sum of the assignments that clear that mark?",,,3377600000.0,3377600000.0,True,True
HV-IC-0028,money,"Regarding Sunita Joshi’s PMP credential (PMI-200039) and her assignment on the Ring Road — Uttar Pradesh Pkg-107 project for the National Expressway Development Authority, what is the combined value of all completed assignments she has delivered to that client?",,,2942400000.0,1329700000.0,False,False
HV-IC-0030,money,"I’m looking at the scope figure on Suresh Das’s Six Sigma Black Belt entry for Road Widening — Odisha Pkg-98, but I know that’s just the single-job number, not the real baseline for their account—what’s the actual average size across every project we’ve wrapped up for that client?",,,195185714.0,195185714.0,True,True
HV-IC-0031,days,"suresh desai’s gujarat pkg-155 handpump pmp issued march 10 2021, how many days to completion?",,,1267.0,1267.0,True,True
HV-IC-0032,money,"Irrigation & Waterways Dept, Govt of Rajasthan, cross-checked against the 23.0 Cr limit, what is the sum?",,,1585300000.0,1585300000.0,True,True
HV-IC-0033,money,"Could you walk me through how to calculate the rupee difference between the mean and the median contract value for all the completed works under the client for Tanvir Menon's Six Sigma Black Belt assignment on the Rajasthan Pkg-58 water treatment plant, and make sure the final number is negative if the mean is lower?",,,76950000.0,76950000.0,True,True
HV-IC-0036,money,"What’s the defensible aggregate of every executed contract value for the Central Works & Buildings Bureau, once we remove the water treatment segment?",,,1232600000.0,1232600000.0,True,True
